outcome,model,estimate,se,lower,upper,p_value,n_treated,n_control
sbp,Unadjusted (household clustered),0.05172259472749763,0.30255021515485825,-0.5413310210721064,0.6447762105271017,0.8642620151116875,5796,6338
sbp,Adjusted (household clustered),0.14518228074556472,0.26429054181644757,-0.3728753956162094,0.6632399571073389,0.5827914458367298,5796,6338
dbp,Unadjusted (household clustered),0.2554751527750696,0.2214781900889651,-0.17866250396327704,0.6896128095134162,0.24873048890918525,5796,6338
dbp,Adjusted (household clustered),0.215689648514935,0.20412020559665162,-0.1844231920093794,0.6158024890392494,0.290681360359269,5796,6338
a1c,Unadjusted (household clustered),-0.007580911287814886,0.011549658243327108,-0.030220361286270744,0.015058538710640973,0.5115966054623257,5758,6298
a1c,Adjusted (household clustered),-0.0026994225066198155,0.008958203873902604,-0.020259146301595803,0.014860301288356172,0.763164670142732,5758,6298
