"delta","n","analytic","simulation","mc_se"
5,18,0.954322661134299,0.95455,0.000658667575488577
10,5,0.969127479170315,0.96854,0.000551998807969728
15,2,0.954180547789649,0.95316,0.000668176731112361
20,2,0.99742840722926,0.99746,0.000159171241121001
